Supplier,Purchaser,CDR Group,CDR Method,Status,Tons Purchased,Total price (USD),Tons Delivered,Announcement Date,Announcement Link,Demand-side Marketplace,Supply-side Marketplace,Year,Month,Day
Neustark,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,26.1,,,2023-12-15 00:00:00,patch order id: ord_prod_0778314085720b17c6447e4002cdfee9,0,Patch,2023,12,15
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,0.2,,0.2,2023-12-15 00:00:00,patch order id: ord_prod_574040b7de5fd6bb980ca441b3e9e32d,0,Patch,2023,12,15
CarbonBuilt,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,3.0,,,2023-12-15 00:00:00,patch order id: ord_prod_456297b9d7dc27459a9c770d0b563635,0,Patch,2023,12,15
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.0,,0.0,2021-10-22 00:00:00,https://charmindustrial.com/order?orderId=reczttySNLlm5jesY,0,0,2021,10,22
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,1.0,,,2023-12-15 00:00:00,patch order id: ord_prod_74bf870cb07a793f6005ba1fead19fc7,0,Patch,2023,12,15
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,2.5,,2.5,2023-12-15 00:00:00,patch order id: ord_prod_6484be1afa2a3c10a24404382ce8f60d,0,Patch,2023,12,15
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,delivered,22.5,,22.5,2023-12-15 00:00:00,patch order id: ord_prod_4e03510fddd47b8dc47f371b8c4d76e0,0,Patch,2023,12,15
Sustaera,Aggregate Purchase,DAC/Mineralization,DAC,undelivered,80.0,,,2022-06-09 00:00:00,0,0,Watershed,2022,06,09
Freres Biochar,Individual,BiCRS,Biochar,delivered,105.0,,105.0,2021-11-30 00:00:00,https://registry.puro.earth/carbon-sequestration,0,Puro,2021,11,30
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.0,,0.0,2022-05-29 00:00:00,https://charmindustrial.com/order?orderId=rece9h6pIsc9LISzi,0,0,2022,05,29
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,delivered,0.2,,0.2,2023-12-15 00:00:00,patch order id: ord_prod_556f49e387abdac1a734cf0ab9e048a4,0,Patch,2023,12,15
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,1.0,,1.0,2021-12-15 00:00:00,https://charmindustrial.com/order?orderId=rec6fKtbhUOXLq2dk,0,0,2021,12,15
